label,text
1,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping
1,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin
1,iya rep gatau aku masih kelas 4 sd ehh di block
1,aku mohon tepatilah janjimu penantiancintaeps19
1,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser
1,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila
1,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n
1,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja
1,kau dah tak streak dengan aku pun
1,yg selama ini nunggun video dari aku nih retweet yg mau full
1,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga
1,high
1,nanti malam ada undangan opening di hungerbelt spazio temani aku laaaahhh siiisssss
1,aku tambah lagi ia
1,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan
1,lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak
1,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si
1,terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa
1,cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g
1,mana gampaang aku nanya dulu tauu
1,makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih
1,threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s
1,makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya
1,aku juga dong mbaknya link kalo jepang main
1,hyung kamu kanibal kan ' '
1,jajanin aku kak
1,ini tiga aku satu aja gapunya '
1,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee
1,aku di rumah aja' adalah anagram dari 'besok malam minggu'
1,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k
1,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a
1,kamu juga kan
1,x de adab betul budak ni pinjam buku aku
1,kenapa popular weh sorry aku blur x paham mksd hg
